[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 36 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 44 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:59:32] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:00:01] [info] User: Unknown (guest) | Action: Scheduled full backup completed: scheduled_full_backup_2025-10-18_05-00-01.db | Resource: none | Details: none | IP: 192.168.80.245
[2025-10-18 05:00:01] [info] User: Unknown (guest) | Action: Scheduled schema backup completed: scheduled_schema_backup_2025-10-18_05-00-01.sql | Resource: none | Details: none | IP: 192.168.80.245
[2025-10-18 05:02:17] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:03:22] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:03:22] [error] User: Unknown (guest) | Action: uncaught_exception | Resource: system | Details: Uncaught exception: Call to undefined function csrf_field() | IP: 192.168.80.7
[2025-10-18 05:03:22] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: http_response_code(): Cannot set response code - headers already sent (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/ErrorHandler.php on line 78 | IP: 192.168.80.7
